# A36 — EXHAUSTIVE Pure property type x multiplicity x ###Relational column datatype matrix
# Generated by /tmp/A36/Matrix2.java (single-file probe, run via /home/user/probe/jrun.sh), DuckDB in-memory.
# Model per cell:  Class model::C { p: <PURE_TYPE>[<MULT>]; }
#                  Database store::D ( Table T<n> ( ID INTEGER PRIMARY KEY, C <COL_TYPE> ) )
#                  Mapping model::M ( model::C: Relational { ~mainTable [store::D] T<n>  p: [store::D] T<n>.C } )
# Query per cell:  model::C.all()->project(~[v:x|$x.p])
# Each cell is executed THREE times, with the table holding exactly one row: V1 (representative),
# V2 (edge), then NULL.  V*_RAW is what plain JDBC getObject() returns for that same row.
# Soundness oracle = the repo's OWN judge, com.legend.exec.PureAsserts.assertInstanceOf(value, declaredType)
# (precisePrimitives are judged against their Type.java:126-137 alias, plus an explicit width-range check).
#
# CLASS legend:
#   SOUND                 compiles, every non-null value satisfies the declared Pure type AND equals the stored value
#   SILENTLY-WRONG-TYPE   compiles, runs, returns a value whose Pure carrier type is NOT the declared type
#   SILENTLY-WRONG-VALUE  compiles, runs, type is right but the value is not the stored value (lossy cast / width lie)
#   LOUD-ERROR            refused at COMPILE time (Compiler.plan throws a LegendCompileException)
#   LOUD-RUNTIME          compiles; the driver raises a raw java.sql.SQLException on SOME data (data-dependent)
#   ICE                   an internal exception (IllegalStateException) escapes the compiler
# MULT_VIOLATION = NULL-UNDER-[1]: the cell declares [1] and the executor delivered a null.
#
# RAW JDBC GROUND TRUTH (getObject on the same three rows, per column type):
#   INTEGER -> [Integer(42), Integer(2147483647), null]
#   BIGINT -> [Long(42), Long(9223372036854775807), null]
#   SMALLINT -> [Short(42), Short(32767), null]
#   TINYINT -> [Byte(42), Byte(127), null]
#   DOUBLE -> [Double(3.5), Double(1.7976931348623157E308), null]
#   FLOAT -> [Float(3.5), Float(3.4028235E38), null]
#   REAL -> [Float(3.5), Float(3.4028235E38), null]
#   BIT -> [Boolean(true), Boolean(false), null]
#   DATE -> [LocalDate(2024-01-15), LocalDate(9999-12-31), null]
#   TIMESTAMP -> [Timestamp(2024-01-15 10:30:00.0), Timestamp(9999-12-31 23:59:59.0), null]
#   VARCHAR(20) -> [String(123), String(hello), null]
#   CHAR(3) -> [String(123), String(abc), null]
#   BINARY(8) -> [DuckDBBlobResult(DuckDBBlobResult{buffer=java.nio.HeapByteBuffer[pos=0 lim=3 cap=3]}), DuckDBBlobResult(DuckDBBlobResult{buffer=java.nio.HeapByteBuffer[pos=0 lim=2 cap=2]}), null]
#   VARBINARY(8) -> [DuckDBBlobResult(DuckDBBlobResult{buffer=java.nio.HeapByteBuffer[pos=0 lim=3 cap=3]}), DuckDBBlobResult(DuckDBBlobResult{buffer=java.nio.HeapByteBuffer[pos=0 lim=2 cap=2]}), null]
#   DECIMAL(10,2) -> [BigDecimal(123.45), BigDecimal(99999999.99), null]
#   NUMERIC(10,2) -> [BigDecimal(123.45), BigDecimal(99999999.99), null]
#   SEMISTRUCTURED -> [String({"a":1}), String([1,2]), null]
#   OTHER -> [String(x), String(y), null]
#   ARRAY -> [String(x), String(y), null]
#
PURE_TYPE	MULT	COL_TYPE	COMPILES	SQL	RESULT_COL_TYPE	V1_RAW	V1_BACK	V2_RAW	V2_BACK	NULL_BACK	CLASS	MULT_VIOLATION	DETAIL
meta::pure::precisePrimitives::BigInt	[0..1]	SEMISTRUCTURED	NO								LOUD-ERROR		TypeInferenceException: in function 'model::M$class$model::C': property 'p' of 'model::C': expected Integer, got meta::pure::metamodel::variant::Variant (value: AppliedProperty[receiver=Variable[name=row, type=null, multiplicity=null, pos=null], property=C, pos=null])
meta::pure::precisePrimitives::BigInt	[0..1]	OTHER	NO								LOUD-ERROR		ModelException: SQL column type 'Other' has no scalar Pure type
meta::pure::precisePrimitives::BigInt	[0..1]	ARRAY	NO								LOUD-ERROR		ModelException: SQL column type 'Other' has no scalar Pure type
meta::pure::precisePrimitives::UBigInt	[1]	INTEGER	YES	SELECT t0.C AS v FROM T0 AS t0	Integer mult=[1]	Integer(42)	Integer(42)	Integer(2147483647)	Integer(2147483647)	null	SOUND	NULL-UNDER-[1]	
meta::pure::precisePrimitives::UBigInt	[1]	BIGINT	YES	SELECT t0.C AS v FROM T1 AS t0	Integer mult=[1]	Long(42)	Long(42)	Long(9223372036854775807)	Long(9223372036854775807)	null	SOUND	NULL-UNDER-[1]	
meta::pure::precisePrimitives::UBigInt	[1]	SMALLINT	YES	SELECT t0.C AS v FROM T2 AS t0	Integer mult=[1]	Short(42)	Short(42)	Short(32767)	Short(32767)	null	SOUND	NULL-UNDER-[1]	
meta::pure::precisePrimitives::UBigInt	[1]	TINYINT	YES	SELECT t0.C AS v FROM T3 AS t0	Integer mult=[1]	Byte(42)	Byte(42)	Byte(127)	Byte(127)	null	SOUND	NULL-UNDER-[1]	
meta::pure::precisePrimitives::UBigInt	[1]	DOUBLE	NO								LOUD-ERROR		TypeInferenceException: in function 'model::M$class$model::C': property 'p' of 'model::C': expected Integer, got Float (value: AppliedFunction[function=meta::legend::lite::trustOne, parameters=[AppliedProperty[receiver=Variable[name=row, type=null, multiplicity=null, pos=null], property=C, pos=null]], candidateFqns=[], pos=null, propertyCall=false, grouped=false, infix=false])
meta::pure::precisePrimitives::UBigInt	[1]	FLOAT	NO								LOUD-ERROR		TypeInferenceException: in function 'model::M$class$model::C': property 'p' of 'model::C': expected Integer, got Float (value: AppliedFunction[function=meta::legend::lite::trustOne, parameters=[AppliedProperty[receiver=Variable[name=row, type=null, multiplicity=null, pos=null], property=C, pos=null]], candidateFqns=[], pos=null, propertyCall=false, grouped=false, infix=false])
meta::pure::precisePrimitives::UBigInt	[1]	REAL	NO								LOUD-ERROR		TypeInferenceException: in function 'model::M$class$model::C': property 'p' of 'model::C': expected Integer, got Float (value: AppliedFunction[function=meta::legend::lite::trustOne, parameters=[AppliedProperty[receiver=Variable[name=row, type=null, multiplicity=null, pos=null], property=C, pos=null]], candidateFqns=[], pos=null, propertyCall=false, grouped=false, infix=false])
meta::pure::precisePrimitives::UBigInt	[1]	BIT	NO								LOUD-ERROR		TypeInferenceException: in function 'model::M$class$model::C': property 'p' of 'model::C': expected Integer, got Boolean (value: AppliedFunction[function=meta::legend::lite::trustOne, parameters=[AppliedProperty[receiver=Variable[name=row, type=null, multiplicity=null, pos=null], property=C, pos=null]], candidateFqns=[], pos=null, propertyCall=false, grouped=false, infix=false])
meta::pure::precisePrimitives::UBigInt	[1]	DATE	NO								LOUD-ERROR		TypeInferenceException: in function 'model::M$class$model::C': property 'p' of 'model::C': expected Integer, got StrictDate (value: AppliedFunction[function=meta::legend::lite::trustOne, parameters=[AppliedProperty[receiver=Variable[name=row, type=null, multiplicity=null, pos=null], property=C, pos=null]], candidateFqns=[], pos=null, propertyCall=false, grouped=false, infix=false])
meta::pure::precisePrimitives::UBigInt	[1]	TIMESTAMP	NO								LOUD-ERROR		TypeInferenceException: in function 'model::M$class$model::C': property 'p' of 'model::C': expected Integer, got DateTime (value: AppliedFunction[function=meta::legend::lite::trustOne, parameters=[AppliedProperty[receiver=Variable[name=row, type=null, multiplicity=null, pos=null], property=C, pos=null]], candidateFqns=[], pos=null, propertyCall=false, grouped=false, infix=false])
meta::pure::precisePrimitives::UBigInt	[1]	VARCHAR(20)	NO								LOUD-ERROR		TypeInferenceException: in function 'model::M$class$model::C': property 'p' of 'model::C': expected Integer, got String (value: AppliedFunction[function=meta::legend::lite::trustOne, parameters=[AppliedProperty[receiver=Variable[name=row, type=null, multiplicity=null, pos=null], property=C, pos=null]], candidateFqns=[], pos=null, propertyCall=false, grouped=false, infix=false])
meta::pure::precisePrimitives::UBigInt	[1]	CHAR(3)	NO								LOUD-ERROR		TypeInferenceException: in function 'model::M$class$model::C': property 'p' of 'model::C': expected Integer, got String (value: AppliedFunction[function=meta::legend::lite::trustOne, parameters=[AppliedProperty[receiver=Variable[name=row, type=null, multiplicity=null, pos=null], property=C, pos=null]], candidateFqns=[], pos=null, propertyCall=false, grouped=false, infix=false])
meta::pure::precisePrimitives::UBigInt	[1]	BINARY(8)	NO								LOUD-ERROR		TypeInferenceException: in function 'model::M$class$model::C': property 'p' of 'model::C': expected Integer, got Byte (value: AppliedFunction[function=meta::legend::lite::trustOne, parameters=[AppliedProperty[receiver=Variable[name=row, type=null, multiplicity=null, pos=null], property=C, pos=null]], candidateFqns=[], pos=null, propertyCall=false, grouped=false, infix=false])
meta::pure::precisePrimitives::UBigInt	[1]	VARBINARY(8)	NO								LOUD-ERROR		TypeInferenceException: in function 'model::M$class$model::C': property 'p' of 'model::C': expected Integer, got Byte (value: AppliedFunction[function=meta::legend::lite::trustOne, parameters=[AppliedProperty[receiver=Variable[name=row, type=null, multiplicity=null, pos=null], property=C, pos=null]], candidateFqns=[], pos=null, propertyCall=false, grouped=false, infix=false])
meta::pure::precisePrimitives::UBigInt	[1]	DECIMAL(10,2)	NO								LOUD-ERROR		TypeInferenceException: in function 'model::M$class$model::C': property 'p' of 'model::C': expected Integer, got Decimal(10,2) (value: AppliedFunction[function=meta::legend::lite::trustOne, parameters=[AppliedProperty[receiver=Variable[name=row, type=null, multiplicity=null, pos=null], property=C, pos=null]], candidateFqns=[], pos=null, propertyCall=false, grouped=false, infix=false])
meta::pure::precisePrimitives::UBigInt	[1]	NUMERIC(10,2)	NO								LOUD-ERROR		TypeInferenceException: in function 'model::M$class$model::C': property 'p' of 'model::C': expected Integer, got Decimal(10,2) (value: AppliedFunction[function=meta::legend::lite::trustOne, parameters=[AppliedProperty[receiver=Variable[name=row, type=null, multiplicity=null, pos=null], property=C, pos=null]], candidateFqns=[], pos=null, propertyCall=false, grouped=false, infix=false])
meta::pure::precisePrimitives::UBigInt	[1]	SEMISTRUCTURED	NO								LOUD-ERROR		TypeInferenceException: in function 'model::M$class$model::C': property 'p' of 'model::C': expected Integer, got meta::pure::metamodel::variant::Variant (value: AppliedFunction[function=meta::legend::lite::trustOne, parameters=[AppliedProperty[receiver=Variable[name=row, type=null, multiplicity=null, pos=null], property=C, pos=null]], candidateFqns=[], pos=null, propertyCall=false, grouped=false, ...
meta::pure::precisePrimitives::UBigInt	[1]	OTHER	NO								LOUD-ERROR		ModelException: SQL column type 'Other' has no scalar Pure type
meta::pure::precisePrimitives::UBigInt	[1]	ARRAY	NO								LOUD-ERROR		ModelException: SQL column type 'Other' has no scalar Pure type
meta::pure::precisePrimitives::UBigInt	[0..1]	INTEGER	YES	SELECT t0.C AS v FROM T0 AS t0	Integer mult=[0..1]	Integer(42)	Integer(42)	Integer(2147483647)	Integer(2147483647)	null	SOUND		
meta::pure::precisePrimitives::UBigInt	[0..1]	BIGINT	YES	SELECT t0.C AS v FROM T1 AS t0	Integer mult=[0..1]	Long(42)	Long(42)	Long(9223372036854775807)	Long(9223372036854775807)	null	SOUND		
meta::pure::precisePrimitives::UBigInt	[0..1]	SMALLINT	YES	SELECT t0.C AS v FROM T2 AS t0	Integer mult=[0..1]	Short(42)	Short(42)	Short(32767)	Short(32767)	null	SOUND		
meta::pure::precisePrimitives::UBigInt	[0..1]	TINYINT	YES	SELECT t0.C AS v FROM T3 AS t0	Integer mult=[0..1]	Byte(42)	Byte(42)	Byte(127)	Byte(127)	null	SOUND		
meta::pure::precisePrimitives::UBigInt	[0..1]	DOUBLE	NO								LOUD-ERROR		TypeInferenceException: in function 'model::M$class$model::C': property 'p' of 'model::C': expected Integer, got Float (value: AppliedProperty[receiver=Variable[name=row, type=null, multiplicity=null, pos=null], property=C, pos=null])
meta::pure::precisePrimitives::UBigInt	[0..1]	FLOAT	NO								LOUD-ERROR		TypeInferenceException: in function 'model::M$class$model::C': property 'p' of 'model::C': expected Integer, got Float (value: AppliedProperty[receiver=Variable[name=row, type=null, multiplicity=null, pos=null], property=C, pos=null])
meta::pure::precisePrimitives::UBigInt	[0..1]	REAL	NO								LOUD-ERROR		TypeInferenceException: in function 'model::M$class$model::C': property 'p' of 'model::C': expected Integer, got Float (value: AppliedProperty[receiver=Variable[name=row, type=null, multiplicity=null, pos=null], property=C, pos=null])
meta::pure::precisePrimitives::UBigInt	[0..1]	BIT	NO								LOUD-ERROR		TypeInferenceException: in function 'model::M$class$model::C': property 'p' of 'model::C': expected Integer, got Boolean (value: AppliedProperty[receiver=Variable[name=row, type=null, multiplicity=null, pos=null], property=C, pos=null])
meta::pure::precisePrimitives::UBigInt	[0..1]	DATE	NO								LOUD-ERROR		TypeInferenceException: in function 'model::M$class$model::C': property 'p' of 'model::C': expected Integer, got StrictDate (value: AppliedProperty[receiver=Variable[name=row, type=null, multiplicity=null, pos=null], property=C, pos=null])
meta::pure::precisePrimitives::UBigInt	[0..1]	TIMESTAMP	NO								LOUD-ERROR		TypeInferenceException: in function 'model::M$class$model::C': property 'p' of 'model::C': expected Integer, got DateTime (value: AppliedProperty[receiver=Variable[name=row, type=null, multiplicity=null, pos=null], property=C, pos=null])
meta::pure::precisePrimitives::UBigInt	[0..1]	VARCHAR(20)	NO								LOUD-ERROR		TypeInferenceException: in function 'model::M$class$model::C': property 'p' of 'model::C': expected Integer, got String (value: AppliedProperty[receiver=Variable[name=row, type=null, multiplicity=null, pos=null], property=C, pos=null])
meta::pure::precisePrimitives::UBigInt	[0..1]	CHAR(3)	NO								LOUD-ERROR		TypeInferenceException: in function 'model::M$class$model::C': property 'p' of 'model::C': expected Integer, got String (value: AppliedProperty[receiver=Variable[name=row, type=null, multiplicity=null, pos=null], property=C, pos=null])
meta::pure::precisePrimitives::UBigInt	[0..1]	BINARY(8)	NO								LOUD-ERROR		TypeInferenceException: in function 'model::M$class$model::C': property 'p' of 'model::C': expected Integer, got Byte (value: AppliedProperty[receiver=Variable[name=row, type=null, multiplicity=null, pos=null], property=C, pos=null])
meta::pure::precisePrimitives::UBigInt	[0..1]	VARBINARY(8)	NO								LOUD-ERROR		TypeInferenceException: in function 'model::M$class$model::C': property 'p' of 'model::C': expected Integer, got Byte (value: AppliedProperty[receiver=Variable[name=row, type=null, multiplicity=null, pos=null], property=C, pos=null])
meta::pure::precisePrimitives::UBigInt	[0..1]	DECIMAL(10,2)	NO								LOUD-ERROR		TypeInferenceException: in function 'model::M$class$model::C': property 'p' of 'model::C': expected Integer, got Decimal(10,2) (value: AppliedProperty[receiver=Variable[name=row, type=null, multiplicity=null, pos=null], property=C, pos=null])
meta::pure::precisePrimitives::UBigInt	[0..1]	NUMERIC(10,2)	NO								LOUD-ERROR		TypeInferenceException: in function 'model::M$class$model::C': property 'p' of 'model::C': expected Integer, got Decimal(10,2) (value: AppliedProperty[receiver=Variable[name=row, type=null, multiplicity=null, pos=null], property=C, pos=null])
meta::pure::precisePrimitives::UBigInt	[0..1]	SEMISTRUCTURED	NO								LOUD-ERROR		TypeInferenceException: in function 'model::M$class$model::C': property 'p' of 'model::C': expected Integer, got meta::pure::metamodel::variant::Variant (value: AppliedProperty[receiver=Variable[name=row, type=null, multiplicity=null, pos=null], property=C, pos=null])
meta::pure::precisePrimitives::UBigInt	[0..1]	OTHER	NO								LOUD-ERROR		ModelException: SQL column type 'Other' has no scalar Pure type
meta::pure::precisePrimitives::UBigInt	[0..1]	ARRAY	NO								LOUD-ERROR		ModelException: SQL column type 'Other' has no scalar Pure type
meta::pure::precisePrimitives::Float4	[1]	INTEGER	NO								LOUD-ERROR		TypeInferenceException: in function 'model::M$class$model::C': property 'p' of 'model::C': expected Float, got Integer (value: AppliedFunction[function=meta::legend::lite::trustOne, parameters=[AppliedProperty[receiver=Variable[name=row, type=null, multiplicity=null, pos=null], property=C, pos=null]], candidateFqns=[], pos=null, propertyCall=false, grouped=false, infix=false])
meta::pure::precisePrimitives::Float4	[1]	BIGINT	NO								LOUD-ERROR		TypeInferenceException: in function 'model::M$class$model::C': property 'p' of 'model::C': expected Float, got Integer (value: AppliedFunction[function=meta::legend::lite::trustOne, parameters=[AppliedProperty[receiver=Variable[name=row, type=null, multiplicity=null, pos=null], property=C, pos=null]], candidateFqns=[], pos=null, propertyCall=false, grouped=false, infix=false])
meta::pure::precisePrimitives::Float4	[1]	SMALLINT	NO								LOUD-ERROR		TypeInferenceException: in function 'model::M$class$model::C': property 'p' of 'model::C': expected Float, got Integer (value: AppliedFunction[function=meta::legend::lite::trustOne, parameters=[AppliedProperty[receiver=Variable[name=row, type=null, multiplicity=null, pos=null], property=C, pos=null]], candidateFqns=[], pos=null, propertyCall=false, grouped=false, infix=false])
meta::pure::precisePrimitives::Float4	[1]	TINYINT	NO								LOUD-ERROR		TypeInferenceException: in function 'model::M$class$model::C': property 'p' of 'model::C': expected Float, got Integer (value: AppliedFunction[function=meta::legend::lite::trustOne, parameters=[AppliedProperty[receiver=Variable[name=row, type=null, multiplicity=null, pos=null], property=C, pos=null]], candidateFqns=[], pos=null, propertyCall=false, grouped=false, infix=false])
meta::pure::precisePrimitives::Float4	[1]	DOUBLE	YES	SELECT t0.C AS v FROM T4 AS t0	Float mult=[1]	Double(3.5)	Double(3.5)	Double(1.7976931348623157E308)	Double(1.7976931348623157E308)	null	SILENTLY-WRONG-VALUE	NULL-UNDER-[1]	WIDTH v2: 179769313486231570000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 outside Float4 range [-340282350000000000000000000000000000000,34028235000000000...
meta::pure::precisePrimitives::Float4	[1]	FLOAT	YES	SELECT t0.C AS v FROM T5 AS t0	Float mult=[1]	Float(3.5)	Float(3.5)	Float(3.4028235E38)	Float(3.4028235E38)	null	SOUND	NULL-UNDER-[1]	
meta::pure::precisePrimitives::Float4	[1]	REAL	YES	SELECT t0.C AS v FROM T6 AS t0	Float mult=[1]	Float(3.5)	Float(3.5)	Float(3.4028235E38)	Float(3.4028235E38)	null	SOUND	NULL-UNDER-[1]	
meta::pure::precisePrimitives::Float4	[1]	BIT	NO								LOUD-ERROR		TypeInferenceException: in function 'model::M$class$model::C': property 'p' of 'model::C': expected Float, got Boolean (value: AppliedFunction[function=meta::legend::lite::trustOne, parameters=[AppliedProperty[receiver=Variable[name=row, type=null, multiplicity=null, pos=null], property=C, pos=null]], candidateFqns=[], pos=null, propertyCall=false, grouped=false, infix=false])
meta::pure::precisePrimitives::Float4	[1]	DATE	NO								LOUD-ERROR		TypeInferenceException: in function 'model::M$class$model::C': property 'p' of 'model::C': expected Float, got StrictDate (value: AppliedFunction[function=meta::legend::lite::trustOne, parameters=[AppliedProperty[receiver=Variable[name=row, type=null, multiplicity=null, pos=null], property=C, pos=null]], candidateFqns=[], pos=null, propertyCall=false, grouped=false, infix=false])
meta::pure::precisePrimitives::Float4	[1]	TIMESTAMP	NO								LOUD-ERROR		TypeInferenceException: in function 'model::M$class$model::C': property 'p' of 'model::C': expected Float, got DateTime (value: AppliedFunction[function=meta::legend::lite::trustOne, parameters=[AppliedProperty[receiver=Variable[name=row, type=null, multiplicity=null, pos=null], property=C, pos=null]], candidateFqns=[], pos=null, propertyCall=false, grouped=false, infix=false])
meta::pure::precisePrimitives::Float4	[1]	VARCHAR(20)	NO								LOUD-ERROR		TypeInferenceException: in function 'model::M$class$model::C': property 'p' of 'model::C': expected Float, got String (value: AppliedFunction[function=meta::legend::lite::trustOne, parameters=[AppliedProperty[receiver=Variable[name=row, type=null, multiplicity=null, pos=null], property=C, pos=null]], candidateFqns=[], pos=null, propertyCall=false, grouped=false, infix=false])
meta::pure::precisePrimitives::Float4	[1]	CHAR(3)	NO								LOUD-ERROR		TypeInferenceException: in function 'model::M$class$model::C': property 'p' of 'model::C': expected Float, got String (value: AppliedFunction[function=meta::legend::lite::trustOne, parameters=[AppliedProperty[receiver=Variable[name=row, type=null, multiplicity=null, pos=null], property=C, pos=null]], candidateFqns=[], pos=null, propertyCall=false, grouped=false, infix=false])
meta::pure::precisePrimitives::Float4	[1]	BINARY(8)	NO								LOUD-ERROR		TypeInferenceException: in function 'model::M$class$model::C': property 'p' of 'model::C': expected Float, got Byte (value: AppliedFunction[function=meta::legend::lite::trustOne, parameters=[AppliedProperty[receiver=Variable[name=row, type=null, multiplicity=null, pos=null], property=C, pos=null]], candidateFqns=[], pos=null, propertyCall=false, grouped=false, infix=false])
meta::pure::precisePrimitives::Float4	[1]	VARBINARY(8)	NO								LOUD-ERROR		TypeInferenceException: in function 'model::M$class$model::C': property 'p' of 'model::C': expected Float, got Byte (value: AppliedFunction[function=meta::legend::lite::trustOne, parameters=[AppliedProperty[receiver=Variable[name=row, type=null, multiplicity=null, pos=null], property=C, pos=null]], candidateFqns=[], pos=null, propertyCall=false, grouped=false, infix=false])
meta::pure::precisePrimitives::Float4	[1]	DECIMAL(10,2)	NO								LOUD-ERROR		TypeInferenceException: in function 'model::M$class$model::C': property 'p' of 'model::C': expected Float, got Decimal(10,2) (value: AppliedFunction[function=meta::legend::lite::trustOne, parameters=[AppliedProperty[receiver=Variable[name=row, type=null, multiplicity=null, pos=null], property=C, pos=null]], candidateFqns=[], pos=null, propertyCall=false, grouped=false, infix=false])
meta::pure::precisePrimitives::Float4	[1]	NUMERIC(10,2)	NO								LOUD-ERROR		TypeInferenceException: in function 'model::M$class$model::C': property 'p' of 'model::C': expected Float, got Decimal(10,2) (value: AppliedFunction[function=meta::legend::lite::trustOne, parameters=[AppliedProperty[receiver=Variable[name=row, type=null, multiplicity=null, pos=null], property=C, pos=null]], candidateFqns=[], pos=null, propertyCall=false, grouped=false, infix=false])
meta::pure::precisePrimitives::Float4	[1]	SEMISTRUCTURED	NO								LOUD-ERROR		TypeInferenceException: in function 'model::M$class$model::C': property 'p' of 'model::C': expected Float, got meta::pure::metamodel::variant::Variant (value: AppliedFunction[function=meta::legend::lite::trustOne, parameters=[AppliedProperty[receiver=Variable[name=row, type=null, multiplicity=null, pos=null], property=C, pos=null]], candidateFqns=[], pos=null, propertyCall=false, grouped=false, in...
meta::pure::precisePrimitives::Float4	[1]	OTHER	NO								LOUD-ERROR		ModelException: SQL column type 'Other' has no scalar Pure type
meta::pure::precisePrimitives::Float4	[1]	ARRAY	NO								LOUD-ERROR		ModelException: SQL column type 'Other' has no scalar Pure type
meta::pure::precisePrimitives::Float4	[0..1]	INTEGER	NO								LOUD-ERROR		TypeInferenceException: in function 'model::M$class$model::C': property 'p' of 'model::C': expected Float, got Integer (value: AppliedProperty[receiver=Variable[name=row, type=null, multiplicity=null, pos=null], property=C, pos=null])
meta::pure::precisePrimitives::Float4	[0..1]	BIGINT	NO								LOUD-ERROR		TypeInferenceException: in function 'model::M$class$model::C': property 'p' of 'model::C': expected Float, got Integer (value: AppliedProperty[receiver=Variable[name=row, type=null, multiplicity=null, pos=null], property=C, pos=null])
meta::pure::precisePrimitives::Float4	[0..1]	SMALLINT	NO								LOUD-ERROR		TypeInferenceException: in function 'model::M$class$model::C': property 'p' of 'model::C': expected Float, got Integer (value: AppliedProperty[receiver=Variable[name=row, type=null, multiplicity=null, pos=null], property=C, pos=null])
meta::pure::precisePrimitives::Float4	[0..1]	TINYINT	NO								LOUD-ERROR		TypeInferenceException: in function 'model::M$class$model::C': property 'p' of 'model::C': expected Float, got Integer (value: AppliedProperty[receiver=Variable[name=row, type=null, multiplicity=null, pos=null], property=C, pos=null])
meta::pure::precisePrimitives::Float4	[0..1]	DOUBLE	YES	SELECT t0.C AS v FROM T4 AS t0	Float mult=[0..1]	Double(3.5)	Double(3.5)	Double(1.7976931348623157E308)	Double(1.7976931348623157E308)	null	SILENTLY-WRONG-VALUE		WIDTH v2: 179769313486231570000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 outside Float4 range [-340282350000000000000000000000000000000,34028235000000000...
meta::pure::precisePrimitives::Float4	[0..1]	FLOAT	YES	SELECT t0.C AS v FROM T5 AS t0	Float mult=[0..1]	Float(3.5)	Float(3.5)	Float(3.4028235E38)	Float(3.4028235E38)	null	SOUND		
meta::pure::precisePrimitives::Float4	[0..1]	REAL	YES	SELECT t0.C AS v FROM T6 AS t0	Float mult=[0..1]	Float(3.5)	Float(3.5)	Float(3.4028235E38)	Float(3.4028235E38)	null	SOUND		
meta::pure::precisePrimitives::Float4	[0..1]	BIT	NO								LOUD-ERROR		TypeInferenceException: in function 'model::M$class$model::C': property 'p' of 'model::C': expected Float, got Boolean (value: AppliedProperty[receiver=Variable[name=row, type=null, multiplicity=null, pos=null], property=C, pos=null])
meta::pure::precisePrimitives::Float4	[0..1]	DATE	NO								LOUD-ERROR		TypeInferenceException: in function 'model::M$class$model::C': property 'p' of 'model::C': expected Float, got StrictDate (value: AppliedProperty[receiver=Variable[name=row, type=null, multiplicity=null, pos=null], property=C, pos=null])
meta::pure::precisePrimitives::Float4	[0..1]	TIMESTAMP	NO								LOUD-ERROR		TypeInferenceException: in function 'model::M$class$model::C': property 'p' of 'model::C': expected Float, got DateTime (value: AppliedProperty[receiver=Variable[name=row, type=null, multiplicity=null, pos=null], property=C, pos=null])
meta::pure::precisePrimitives::Float4	[0..1]	VARCHAR(20)	NO								LOUD-ERROR		TypeInferenceException: in function 'model::M$class$model::C': property 'p' of 'model::C': expected Float, got String (value: AppliedProperty[receiver=Variable[name=row, type=null, multiplicity=null, pos=null], property=C, pos=null])
meta::pure::precisePrimitives::Float4	[0..1]	CHAR(3)	NO								LOUD-ERROR		TypeInferenceException: in function 'model::M$class$model::C': property 'p' of 'model::C': expected Float, got String (value: AppliedProperty[receiver=Variable[name=row, type=null, multiplicity=null, pos=null], property=C, pos=null])
meta::pure::precisePrimitives::Float4	[0..1]	BINARY(8)	NO								LOUD-ERROR		TypeInferenceException: in function 'model::M$class$model::C': property 'p' of 'model::C': expected Float, got Byte (value: AppliedProperty[receiver=Variable[name=row, type=null, multiplicity=null, pos=null], property=C, pos=null])
meta::pure::precisePrimitives::Float4	[0..1]	VARBINARY(8)	NO								LOUD-ERROR		TypeInferenceException: in function 'model::M$class$model::C': property 'p' of 'model::C': expected Float, got Byte (value: AppliedProperty[receiver=Variable[name=row, type=null, multiplicity=null, pos=null], property=C, pos=null])
meta::pure::precisePrimitives::Float4	[0..1]	DECIMAL(10,2)	NO								LOUD-ERROR		TypeInferenceException: in function 'model::M$class$model::C': property 'p' of 'model::C': expected Float, got Decimal(10,2) (value: AppliedProperty[receiver=Variable[name=row, type=null, multiplicity=null, pos=null], property=C, pos=null])
meta::pure::precisePrimitives::Float4	[0..1]	NUMERIC(10,2)	NO								LOUD-ERROR		TypeInferenceException: in function 'model::M$class$model::C': property 'p' of 'model::C': expected Float, got Decimal(10,2) (value: AppliedProperty[receiver=Variable[name=row, type=null, multiplicity=null, pos=null], property=C, pos=null])
meta::pure::precisePrimitives::Float4	[0..1]	SEMISTRUCTURED	NO								LOUD-ERROR		TypeInferenceException: in function 'model::M$class$model::C': property 'p' of 'model::C': expected Float, got meta::pure::metamodel::variant::Variant (value: AppliedProperty[receiver=Variable[name=row, type=null, multiplicity=null, pos=null], property=C, pos=null])
meta::pure::precisePrimitives::Float4	[0..1]	OTHER	NO								LOUD-ERROR		ModelException: SQL column type 'Other' has no scalar Pure type
meta::pure::precisePrimitives::Float4	[0..1]	ARRAY	NO								LOUD-ERROR		ModelException: SQL column type 'Other' has no scalar Pure type
meta::pure::precisePrimitives::Double	[1]	INTEGER	NO								LOUD-ERROR		TypeInferenceException: in function 'model::M$class$model::C': property 'p' of 'model::C': expected Float, got Integer (value: AppliedFunction[function=meta::legend::lite::trustOne, parameters=[AppliedProperty[receiver=Variable[name=row, type=null, multiplicity=null, pos=null], property=C, pos=null]], candidateFqns=[], pos=null, propertyCall=false, grouped=false, infix=false])
